store_id,month,landfill_tons,composted_tons,organic_digestion_tons,diversion_rate_pct,waste_disposal_cost_usd
STORE-101,2026-01,8.5,24.2,12.8,81.3,1850.0
STORE-101,2026-02,7.8,25.0,13.5,83.2,1720.0
STORE-101,2026-03,7.2,26.5,14.1,84.9,1650.0
STORE-101,2026-04,6.5,28.0,15.0,86.9,1540.0
STORE-101,2026-05,6.0,29.5,15.8,88.3,1480.0
STORE-101,2026-06,5.5,31.0,16.5,89.6,1410.0
STORE-102,2026-01,9.2,22.0,11.5,78.4,2010.0
STORE-102,2026-02,8.5,23.5,12.2,80.8,1880.0
STORE-102,2026-03,7.9,25.1,13.0,82.8,1790.0
STORE-102,2026-04,7.1,26.8,14.2,85.2,1680.0
STORE-102,2026-05,6.6,28.2,15.0,86.7,1590.0
STORE-102,2026-06,6.0,29.8,16.0,88.4,1510.0
