store_id,sku,rescue_date,original_price,markdown_price,units_sold_before_expiry,rescue_revenue_usd,waste_avoided_lbs
STORE-101,SKU-001,2026-06-14,5.99,2.99,120,358.8,180.0
STORE-101,SKU-002,2026-06-17,4.5,2.25,85,191.25,95.0
STORE-101,SKU-004,2026-06-21,14.99,7.49,42,314.58,63.0
STORE-102,SKU-001,2026-06-15,5.99,2.99,145,433.55,217.5
STORE-102,SKU-002,2026-06-18,4.5,2.25,98,220.5,110.0
STORE-102,SKU-004,2026-06-23,14.99,7.49,50,374.5,75.0
STORE-103,SKU-001,2026-06-16,5.99,2.99,110,328.9,165.0
STORE-103,SKU-002,2026-06-19,4.5,2.25,75,168.75,82.5
STORE-103,SKU-004,2026-06-25,14.99,7.49,38,284.62,57.0
STORE-104,SKU-001,2026-07-01,5.99,2.99,160,478.4,240.0
STORE-104,SKU-002,2026-07-04,4.5,2.25,105,236.25,118.0
STORE-104,SKU-004,2026-07-10,14.99,7.49,62,464.38,93.0
STORE-105,SKU-001,2026-07-03,5.99,2.99,130,388.7,195.0
STORE-105,SKU-002,2026-07-06,4.5,2.25,90,202.5,101.0
STORE-105,SKU-004,2026-07-12,14.99,7.49,45,337.05,67.5
