store_id,charity_partner,donation_date,category,donation_weight_lbs,estimated_meal_count,tax_deduction_value_usd
STORE-101,Greater Chicago Food Depository,2026-06-16,Produce & Bakery,850.0,708,1530.0
STORE-101,Greater Chicago Food Depository,2026-06-23,Dairy & Pantry,620.0,516,1116.0
STORE-101,Greater Chicago Food Depository,2026-06-30,Fresh Prepared,490.0,408,882.0
STORE-102,North Texas Food Bank,2026-06-17,Produce & Bakery,980.0,816,1764.0
STORE-102,North Texas Food Bank,2026-06-24,Dairy & Pantry,740.0,616,1332.0
STORE-102,North Texas Food Bank,2026-07-01,Fresh Prepared,560.0,466,1008.0
STORE-103,Food Lifeline Western WA,2026-06-18,Produce & Bakery,780.0,650,1404.0
STORE-103,Food Lifeline Western WA,2026-06-25,Dairy & Pantry,580.0,483,1044.0
STORE-104,Atlanta Community Food Bank,2026-07-02,Produce & Bakery,1120.0,933,2016.0
STORE-104,Atlanta Community Food Bank,2026-07-09,Dairy & Pantry,810.0,675,1458.0
STORE-105,Greater Boston Food Bank,2026-07-05,Produce & Bakery,890.0,741,1602.0
STORE-105,Greater Boston Food Bank,2026-07-12,Dairy & Pantry,670.0,558,1206.0
