sku,packaging_component,material_type,total_weight_grams,is_curbside_recyclable,forest_certified_fsc,plastic_resin_code
SKU-001,Garment Polybag,Bio-based PLA,15.2,False,False,7-OTHER
SKU-001,Hangtag & Cord,Recycled Kraft Paper,4.5,True,True,N/A
SKU-002,Outer Shipper Bag,100% Recycled Ocean Plastic,28.0,True,False,4-LDPE
SKU-002,Inner Protective Sleeve,FSC Certified Glassine,8.0,True,True,N/A
SKU-003,Molded Pulp Tray,Bagasse Sugarcane Fiber,45.0,True,True,N/A
SKU-003,Display Carton,FSC Recycled Corrugate,65.0,True,True,N/A
SKU-004,Detergent Bottle,100% Post-Consumer HDPE,82.0,True,False,2-HDPE
SKU-004,Dispensing Cap,Monomaterial Polypropylene,14.0,True,False,5-PP
SKU-005,Appliance Cushion,Mushroom Mycelium Foam,110.0,False,True,N/A
SKU-005,Master Carton,FSC Double-Wall Kraft,240.0,True,True,N/A
SKU-006,Tumbler Box,FSC Recycled Folding Board,35.0,True,True,N/A
SKU-006,Protective Wrapper,FSC Tissue Paper,3.0,True,True,N/A
