facility_id,facility_type,meter_month,potable_water_gallons,recycled_water_gallons,square_footage,water_intensity_gal_per_sqft,water_utility_cost_usd
STORE-101,Retail Store,2026-01,45000,12000,85000,0.53,680.0
STORE-101,Retail Store,2026-02,42000,11500,85000,0.49,640.0
STORE-101,Retail Store,2026-03,48000,14000,85000,0.56,725.0
STORE-101,Retail Store,2026-04,52000,16000,85000,0.61,790.0
STORE-101,Retail Store,2026-05,59000,18500,85000,0.69,895.0
STORE-101,Retail Store,2026-06,68000,22000,85000,0.8,1040.0
STORE-102,Retail Store,2026-01,52000,8000,95000,0.55,810.0
STORE-102,Retail Store,2026-02,49000,7500,95000,0.52,765.0
STORE-102,Retail Store,2026-03,58000,9500,95000,0.61,905.0
STORE-102,Retail Store,2026-04,68000,12000,95000,0.72,1060.0
STORE-102,Retail Store,2026-05,82000,15000,95000,0.86,1280.0
STORE-102,Retail Store,2026-06,98000,19000,95000,1.03,1530.0
DC-101,Distribution Center,2026-01,185000,95000,650000,0.28,2450.0
DC-101,Distribution Center,2026-02,178000,92000,650000,0.27,2360.0
DC-101,Distribution Center,2026-03,195000,105000,650000,0.3,2580.0
DC-101,Distribution Center,2026-04,210000,118000,650000,0.32,2780.0
DC-101,Distribution Center,2026-05,235000,135000,650000,0.36,3110.0
DC-101,Distribution Center,2026-06,260000,152000,650000,0.4,3440.0
